family,stress,level,seed,method,success_rate,distractor_rate,mean_progress,regret,ranking_margin,endpoint_error
B,scale,1.5,2015,total_flow,0.0,1.0,0.03310949057911672,0.8993891858413781,0.15544522794932217,0.027872040548117864
B,scale,1.5,2015,oracle_effect,1.0,0.0,0.932498676420495,0.0,0.15544522794932217,0.5134496662206431
B,leak,0.0,2500,causal_residual,1.0,0.0,0.9179992523605012,0.017026032726996546,0.15763676011556488,0.5553121417826158
B,leak,0.0,2500,total_flow,0.0,1.0,0.03212120816555596,0.902904076921942,0.15763676011556488,0.028094449990428483
B,leak,0.0,2500,oracle_effect,1.0,0.0,0.9350252850874978,0.0,0.15763676011556488,0.51290130833321
B,leak,0.1,2510,causal_residual,1.0,0.0,0.9141225769062998,0.017677073287755075,0.15051824256213006,0.5565757609238539
B,leak,0.1,2510,total_flow,0.0,1.0,0.035110433490304696,0.8966892167037503,0.15051824256213006,0.0276628203567954
B,leak,0.1,2510,oracle_effect,1.0,0.0,0.9317996501940551,0.0,0.15051824256213006,0.5124782858668667
B,leak,0.25,2525,causal_residual,1.0,0.0,0.9126883572999398,0.024326749808093504,0.15542534300358896,0.5633742696934527
B,leak,0.25,2525,total_flow,0.0,1.0,0.03286590211575128,0.904149204992282,0.15542534300358896,0.027813285239491396
B,leak,0.25,2525,oracle_effect,1.0,0.0,0.9370151071080334,0.0,0.15542534300358896,0.5130477774529875
B,leak,0.5,2550,causal_residual,0.9892857142857143,0.005,0.8860137562853384,0.04700535402815221,0.15628187346533673,0.5769483017505576
B,leak,0.5,2550,total_flow,0.0,1.0,0.03270062160181355,0.9003184887116771,0.15628187346533673,0.027887114202193173
B,leak,0.5,2550,oracle_effect,1.0,0.0,0.9330191103134905,0.0,0.15628187346533673,0.5123724432724127
B,leak,0.75,2575,causal_residual,0.7064285714285714,0.07357142857142857,0.6381198014593872,0.29831558195967545,0.15503985394796602,0.5914916933079489
B,leak,0.75,2575,total_flow,0.0,1.0,0.03410191347648871,0.9023334699425738,0.15503985394796602,0.028044953492510953
B,leak,0.75,2575,oracle_effect,1.0,0.0,0.9364353834190625,0.0,0.15503985394796602,0.512240664673255
B,leak,1.0,2600,causal_residual,0.06428571428571428,0.24071428571428571,0.05663499219196778,0.8769026153008889,0.1563827591425619,0.6076919052907951
B,leak,1.0,2600,total_flow,0.0,1.0,0.03638223582919614,0.8971553716636604,0.1563827591425619,0.028006342726217288
B,leak,1.0,2600,oracle_effect,1.0,0.0,0.9335376074928565,0.0,0.1563827591425619,0.5142389546016362
B,scale,0.25,2052,causal_residual,0.0,1.0,0.03977293316807165,0.8913239564225627,0.15056448908860992,0.18587707087549274
B,scale,0.25,2052,total_flow,0.0,1.0,0.03273288308669654,0.8983640065039377,0.15056448908860992,0.027957868367178514
B,scale,0.25,2052,oracle_effect,1.0,0.0,0.9310968895906343,0.0,0.15056448908860992,0.5132459501768488
B,scale,0.5,2055,causal_residual,0.025,0.975,0.07248292112190473,0.8614092853198428,0.15564661717658582,0.3086103368498323
B,scale,0.5,2055,total_flow,0.0,1.0,0.036198423824364806,0.8976937826173828,0.15564661717658582,0.02796224634010347
B,scale,0.5,2055,oracle_effect,1.0,0.0,0.9338922064417475,0.0,0.15564661717658582,0.5126162702252833
B,scale,0.75,2057,causal_residual,0.9421428571428572,0.05785714285714286,0.8743094464211744,0.058810291182487345,0.15073128583933668,0.4315460003786056
B,scale,0.75,2057,total_flow,0.0,1.0,0.03118562942594638,0.9019341081777154,0.15073128583933668,0.02797233728947241
B,scale,0.75,2057,oracle_effect,1.0,0.0,0.9331197376036618,0.0,0.15073128583933668,0.5131418299719441
B,scale,1.0,2060,causal_residual,1.0,0.0,0.9166279160095113,0.016813624894294513,0.1550591521368226,0.5564288349066087
B,scale,1.0,2060,total_flow,0.0,1.0,0.03267661012780543,0.9007649307760003,0.1550591521368226,0.027823840007327846
B,scale,1.0,2060,oracle_effect,1.0,0.0,0.9334415409038057,0.0,0.1550591521368226,0.5132039439500157
B,scale,1.25,2062,causal_residual,1.0,0.0,0.9149913520033195,0.01659781942960731,0.1551864742783981,0.680182380079937
B,scale,1.25,2062,total_flow,0.0,1.0,0.03259640009115785,0.8989927713417689,0.1551864742783981,0.02784721054852555
B,scale,1.25,2062,oracle_effect,1.0,0.0,0.9315891714329269,0.0,0.1551864742783981,0.5129919877071307
